feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,class
1,463,618,336,0,292,723,7,0
1,463,618,336,3,389,769,11,0
1,447,622,308,0,324,178,0,0
1,447,622,308,3,422,897,9,0
1,447,622,308,3,405,969,8,0
1,447,622,308,0,341,93,1,0
1,447,622,308,2,308,842,6,0
1,447,622,308,3,405,818,10,0
1,463,618,336,3,454,869,3,0
1,463,618,336,0,308,849,5,0
1,495,595,357,3,405,915,9,0
1,495,595,357,0,324,105,1,0
1,495,595,357,0,308,756,6,0
1,458,618,329,3,422,26,7,0
1,458,618,329,3,454,859,3,0
1,458,618,329,3,389,747,11,0
1,468,609,336,3,438,89,0,0
1,468,609,336,3,405,382,9,0
1,468,609,336,3,438,8,1,0
1,468,609,336,0,308,755,6,0
1,575,577,398,3,405,843,10,0
1,575,577,398,0,276,683,7,0
1,575,577,398,3,373,253,11,0
1,468,613,343,3,438,86,0,0
1,468,613,343,3,405,970,8,0
1,468,613,343,3,438,4,1,0
1,468,613,343,0,341,64,1,0
1,436,627,315,3,405,816,10,0
1,436,627,315,0,308,651,7,0
1,436,627,315,0,341,937,3,0
1,436,627,315,3,438,188,5,0
1,570,572,405,3,405,904,9,0
1,570,572,405,3,405,978,8,0
1,570,572,405,0,324,83,1,0
1,570,572,405,3,422,108,6,0
1,580,572,398,3,422,31,7,0
1,580,572,398,3,454,859,3,0
1,580,572,398,3,454,192,5,0
1,580,572,398,0,324,1010,2,0
1,490,600,370,0,259,1003,9,0
1,490,600,370,3,454,1019,1,0
1,490,600,370,3,438,1022,1,0
1,490,600,370,3,438,104,6,0
1,490,600,370,0,341,863,4,0
1,490,600,370,0,227,947,10,0
1,506,595,384,0,178,897,11,0
1,506,595,384,3,454,951,2,0
1,506,595,384,3,454,97,0,0
1,506,595,384,3,405,903,9,0
1,490,604,363,0,324,69,1,0
1,490,604,363,3,454,279,4,0
1,490,604,363,3,422,829,4,0
1,490,604,363,3,438,895,5,3
1,490,604,363,3,405,113,2,3
1,394,577,329,0,422,834,9,3
1,394,577,329,0,422,106,8,3
1,346,604,446,0,373,367,5,3
1,516,531,329,1,422,92,8,3
1,516,531,329,1,405,999,1,3
1,239,600,192,1,617,142,5,3
1,191,595,357,1,617,982,2,3
1,122,541,343,1,389,363,9,1
1,447,586,377,1,633,204,2,1
1,394,618,322,1,633,976,10,1
1,468,613,370,1,454,814,0,1
1,532,572,405,1,405,911,10,1
1,463,604,370,1,422,973,6,1
1,463,604,370,1,405,858,10,1
1,388,622,357,1,454,764,1,1
1,388,622,357,1,470,741,4,1
1,388,622,357,1,438,213,3,1
1,388,622,357,1,470,221,2,1
1,415,613,370,1,454,963,6,1
1,415,613,370,1,454,51,4,1
1,415,613,370,1,438,961,7,1
1,415,613,370,1,422,816,11,1
1,463,609,370,1,454,158,2,1
1,463,609,370,1,470,780,0,1
1,463,609,370,1,487,887,9,1
1,474,627,391,1,487,810,0,1
1,447,604,363,1,454,817,10,1
1,447,609,363,1,487,127,2,1
1,447,609,363,1,454,837,9,1
1,548,577,432,1,454,161,1,1
1,548,577,432,1,470,24,4,1
1,447,609,377,1,422,780,11,1
1,543,577,439,1,422,781,11,1
1,543,577,439,1,470,137,2,1
1,543,577,439,1,438,938,8,1
1,543,577,439,1,454,731,1,1
1,447,609,377,1,422,135,3,1
1,447,609,377,1,454,701,2,1
1,447,609,377,1,422,928,9,1
1,447,609,377,1,422,29,6,1
1,447,609,377,1,405,377,10,1
1,436,600,384,1,454,778,0,1
1,436,600,384,1,422,956,8,1
1,436,600,384,1,438,1011,6,1
1,442,604,377,1,422,29,5,1
1,442,604,377,1,389,895,9,1
1,442,604,377,1,405,1003,6,1
1,442,604,377,1,405,121,3,1
1,442,604,377,1,422,767,0,1
1,458,613,391,1,389,846,10,1
1,458,613,391,1,422,27,5,1
1,458,613,391,1,422,741,0,1
1,458,613,391,1,438,709,1,1
1,458,613,391,1,438,93,4,1
1,442,604,384,1,438,766,0,1
1,442,604,384,1,405,85,4,1
1,442,604,384,1,405,125,3,1
1,442,604,384,1,438,760,0,1
1,522,581,446,1,422,846,11,1
1,484,595,411,1,487,747,1,1
1,484,595,411,1,438,102,4,1
1,484,595,411,1,438,952,7,1
1,415,622,357,1,470,811,0,1
1,415,622,357,1,487,791,1,1
1,452,595,391,1,454,175,3,1
1,452,595,391,1,454,83,5,1
1,436,609,377,1,470,254,1,1
1,436,609,377,1,454,123,4,1
1,415,618,363,1,470,195,2,1
1,415,618,363,1,470,799,0,1
1,415,618,363,1,438,953,8,1
1,495,577,425,1,422,367,11,1
1,458,586,370,1,438,898,9,1
1,458,586,370,1,438,937,8,1
1,458,586,370,1,438,1023,6,1
1,458,586,370,1,405,910,10,1
1,420,632,370,1,470,742,2,1
1,420,632,370,1,470,817,0,1
1,420,632,370,1,454,741,1,1
1,431,609,377,1,405,849,11,1
1,431,609,377,1,454,683,2,1
1,431,609,377,1,438,922,9,1
1,431,609,377,1,438,94,6,1
1,447,595,377,1,405,880,11,1
1,447,595,377,1,422,976,8,1
1,447,595,377,1,454,660,4,1
1,442,600,384,1,405,908,11,1
1,442,600,384,1,454,850,0,1
1,442,600,384,1,438,785,1,1
1,442,609,384,1,438,691,3,1
1,442,609,384,1,438,840,0,1
1,442,609,384,1,422,1007,8,1
1,154,550,336,1,714,187,5,3
1,154,550,336,1,730,225,5,3
1,522,500,377,1,698,975,0,3
1,522,500,377,1,698,977,0,3
1,532,568,377,1,600,775,9,3
1,554,586,405,1,617,341,8,3
1,420,613,308,1,682,591,1,3
1,431,627,308,1,698,1000,4,3
1,410,618,295,1,682,1005,4,3
1,410,613,295,1,698,603,3,3
1,410,613,295,1,698,606,3,3
1,410,613,295,1,698,606,3,3
1,596,568,411,1,682,21,5,3
1,596,568,411,1,682,23,5,3
1,394,622,302,1,698,163,2,3
1,394,622,302,1,714,679,2,3
1,388,622,295,1,714,695,2,3
1,388,622,295,1,714,696,2,3
1,399,622,274,1,633,98,9,3
1,420,600,384,1,698,855,8,3
1,420,600,384,1,730,154,1,3
1,372,595,377,1,714,298,1,3
1,372,595,377,1,714,123,6,3
1,372,595,377,1,698,168,6,3
1,527,563,302,1,438,848,3,3
1,527,563,302,0,389,887,11,3
1,527,563,302,3,373,108,5,3
1,191,618,398,0,405,51,10,0
1,191,618,398,0,389,333,3,0
1,191,618,398,3,146,874,5,0
1,618,531,508,3,129,786,0,0
1,618,531,508,3,48,1017,8,0
1,697,504,384,0,292,115,4,0
1,697,422,254,3,292,335,7,0
1,692,422,377,3,194,625,11,0
1,692,422,377,2,633,789,5,0
1,788,250,315,2,649,787,2,2
1,788,250,315,3,324,841,2,2
1,820,304,350,3,227,242,9,2
1,980,222,377,3,292,833,1,2
1,980,222,377,3,292,833,1,2
1,777,277,315,2,617,127,4,2
1,777,277,315,3,276,555,4,2
1,777,277,315,3,129,101,10,2
1,772,231,267,3,259,675,3,2
1,799,145,185,3,243,876,0,2
1,799,145,185,3,162,719,9,2
1,745,231,192,2,649,771,1,2
1,745,231,192,3,276,805,1,2
1,809,231,240,2,617,634,4,2
1,809,231,240,2,617,118,4,2
1,809,231,240,3,259,573,4,2
1,959,172,336,3,292,652,3,2
1,815,231,260,2,633,715,2,2
1,889,190,302,3,194,203,9,2
1,916,181,308,3,292,810,1,2
1,916,181,308,3,243,920,6,2
1,916,181,308,2,600,614,4,2
1,777,240,233,3,194,121,10,2
1,777,240,233,3,259,331,7,2
1,889,200,308,3,276,996,5,2
1,889,200,308,2,633,731,2,2
1,745,240,240,2,649,732,2,2
1,745,240,240,3,292,732,2,2
1,783,240,247,2,568,912,9,2
1,820,240,254,3,243,767,8,2
1,820,240,254,2,633,773,1,2
1,863,209,288,2,617,627,4,2
1,863,209,288,2,617,116,4,2
1,863,209,288,3,178,638,10,2
1,889,195,315,3,292,662,3,2
1,756,240,226,3,276,900,0,2
1,756,240,226,3,211,196,9,2
1,777,240,240,2,649,773,1,2
1,777,240,240,3,292,815,1,2
1,788,240,247,3,276,577,4,2
1,788,240,247,2,617,628,4,2
1,788,240,247,3,178,121,10,2
1,905,190,308,3,276,655,3,2
1,905,190,308,3,162,565,11,2
1,905,190,308,2,617,71,5,2
1,873,204,295,2,649,729,2,2
1,873,204,295,3,292,736,2,2
1,761,240,233,3,276,890,0,2
1,777,240,233,3,227,264,8,2
1,777,240,233,2,649,776,1,2
1,852,213,281,3,276,581,4,2
1,852,213,281,3,162,128,10,2
1,777,240,233,2,633,163,3,2
1,767,240,240,3,162,563,11,2
1,767,240,240,3,259,1000,5,2
1,857,204,295,2,649,823,0,2
1,767,240,240,3,292,890,0,2
1,767,240,240,3,227,259,8,2
1,767,240,240,3,292,812,1,2
1,777,236,247,3,259,407,6,2
1,777,236,247,2,617,118,4,2
1,783,240,240,3,178,633,10,2
1,777,236,233,3,276,657,3,2
1,777,236,233,3,162,568,11,2
1,772,240,240,3,292,735,2,2
1,772,240,240,3,276,893,0,2
1,772,240,240,3,211,192,9,2
1,783,240,240,3,276,814,1,2
1,783,240,240,3,259,917,6,2
1,969,168,343,3,259,327,7,2
1,793,240,254,2,535,829,11,2
1,815,227,254,2,633,721,2,2
1,815,227,254,3,292,733,2,2
1,815,227,254,2,649,821,0,2
1,761,240,226,2,552,905,9,2
1,761,240,226,3,211,189,9,2
1,767,240,226,2,633,772,1,2
1,756,240,226,3,259,409,6,2
1,873,190,302,3,243,846,7,2
1,873,190,302,3,276,142,3,2
1,873,190,302,2,600,59,5,2
1,873,190,302,2,600,58,5,2
1,772,231,233,3,276,895,0,2
1,772,231,233,3,211,194,9,2
1,772,231,233,2,633,770,1,2
1,767,240,240,2,633,775,1,2
1,767,240,240,3,243,930,6,2
1,847,218,267,2,568,985,7,2
1,916,181,315,2,633,715,2,2
1,916,181,315,3,292,736,2,2
1,783,240,240,3,292,890,0,2
1,783,240,240,3,211,190,9,2
1,863,204,288,2,649,766,1,2
1,863,204,288,3,292,813,1,2
1,777,236,240,2,617,106,4,2
1,777,236,240,2,617,108,4,2
1,959,172,336,2,568,984,7,2
1,799,240,233,2,617,154,3,2
1,943,163,315,3,276,892,0,2
1,804,231,254,2,633,768,1,2
1,804,231,254,3,276,816,1,2
1,804,231,254,2,584,6,6,2
1,900,190,315,3,227,329,7,2
1,884,190,322,2,649,685,3,2
1,948,172,336,3,259,482,5,2
1,948,172,336,2,649,748,2,2
1,948,172,336,2,649,748,2,2
1,948,172,336,3,292,728,2,2
1,772,236,240,3,227,257,8,2
1,772,236,240,2,649,777,1,2
1,788,240,240,3,243,407,6,2
1,788,240,240,3,259,60,4,2
1,804,227,260,3,227,847,7,2
1,804,227,260,2,633,679,3,2
1,809,236,247,3,276,224,2,2
1,809,236,247,3,276,735,2,2
1,783,240,240,3,227,264,8,2
1,804,240,247,2,617,32,6,2
1,804,240,247,3,276,60,4,2
1,868,204,295,3,178,635,10,2
1,767,240,240,3,259,654,3,2
1,836,227,274,0,129,626,5,2
1,836,227,274,3,276,222,2,2
1,836,227,274,2,649,819,0,2
1,809,231,247,3,211,270,8,2
1,809,231,247,2,649,776,1,2
1,809,231,247,3,276,815,1,2
1,868,213,295,3,178,636,10,2
1,868,213,295,3,243,335,7,2
1,756,240,233,3,146,53,11,2
1,783,236,247,2,649,741,2,2
1,911,186,322,2,649,835,0,2
1,911,186,322,3,276,880,0,2
1,911,186,322,3,194,191,9,2
1,831,222,274,3,259,805,1,2
1,831,222,274,3,243,918,6,2
1,953,181,329,3,276,655,3,2
1,953,181,329,3,243,1000,5,2
1,953,181,329,3,276,734,2,2
1,767,240,240,2,584,952,8,2
1,767,240,240,3,292,809,1,2
1,767,240,240,3,243,916,6,2
1,756,231,233,3,259,58,4,2
1,756,231,233,3,178,634,10,2
1,799,240,247,2,617,679,3,2
1,799,240,247,3,259,650,3,2
1,879,200,302,2,633,218,2,2
1,852,213,274,3,259,888,0,2
1,852,213,274,3,178,196,9,2
1,777,240,240,3,276,816,1,2
1,777,240,240,2,617,118,4,2
1,777,240,240,3,276,68,4,2
1,767,240,233,3,243,334,7,2
1,767,240,233,2,633,682,3,2
1,767,240,233,3,276,654,3,2
1,911,186,322,3,276,729,2,2
1,911,186,322,2,649,827,0,2
1,799,240,247,3,276,891,0,2
1,799,240,247,3,194,702,9,2
1,799,240,247,3,276,815,1,2
1,772,240,240,3,243,415,6,2
1,772,240,240,3,243,64,4,2
1,772,240,240,3,178,125,10,2
1,772,240,240,3,259,149,3,2
1,804,231,260,3,259,999,5,2
1,847,213,281,3,194,188,9,2
1,772,240,240,2,649,777,1,2
1,772,240,240,3,276,813,1,2
1,772,240,240,3,243,921,6,2
1,889,190,308,3,276,659,3,2
1,900,195,315,0,113,628,5,2
1,793,240,247,3,259,407,6,2
1,777,236,247,3,276,570,4,2
1,777,236,247,3,178,631,10,2
1,815,231,260,2,633,680,3,2
1,756,240,226,3,243,999,5,2
1,756,240,226,2,633,726,2,2
1,756,240,226,3,276,736,2,2
1,761,240,240,3,211,704,9,2
1,761,240,240,3,227,770,8,2
1,873,204,302,2,617,627,4,2
1,873,204,302,3,259,59,4,2
1,873,204,302,3,178,114,10,2
1,873,204,302,3,243,328,7,2
1,783,245,240,3,162,560,11,2
1,783,245,240,2,617,99,5,2
1,761,240,240,3,276,733,2,2
1,761,240,240,2,649,858,0,2
1,751,240,226,3,276,810,1,2
1,751,240,226,2,600,38,6,2
1,751,240,226,3,259,916,6,2
1,767,240,219,3,259,59,4,2
1,847,218,274,3,243,845,7,2
1,836,231,267,3,243,1004,5,2
1,836,231,267,3,259,738,2,2
1,836,231,267,2,649,836,0,2
1,889,195,308,3,194,190,9,2
1,793,245,247,3,276,810,1,2
1,793,245,247,2,617,30,6,2
1,772,240,240,3,259,405,6,2
1,857,213,288,2,633,692,3,2
1,751,231,226,3,146,46,11,2
1,836,209,274,2,633,738,2,2
1,836,209,274,3,276,733,2,2
1,761,240,226,3,194,705,9,2
1,841,213,274,2,649,785,1,2
1,809,240,240,3,178,632,10,2
1,895,190,315,3,162,46,11,2
1,895,190,315,3,259,997,5,2
1,895,190,315,2,633,736,2,2
1,793,240,233,3,227,258,8,2
1,815,231,247,2,617,120,4,2
1,905,190,315,3,243,332,7,2
1,767,240,226,3,259,490,5,2
1,793,245,247,3,276,736,2,2
1,793,245,247,2,649,823,0,2
1,863,204,295,3,211,699,9,2
1,863,204,295,2,649,782,1,2
1,863,204,295,3,276,809,1,2
1,863,204,295,3,259,914,6,2
1,863,204,295,2,617,634,4,2
1,841,209,267,2,633,731,2,2
1,772,240,240,2,552,906,9,2
1,772,240,240,3,211,260,8,2
1,772,240,240,3,259,813,1,2
1,889,190,302,2,617,118,4,2
1,761,240,233,2,552,865,10,2
1,761,240,233,3,162,120,10,2
1,788,240,247,2,617,674,3,2
1,788,240,247,3,276,143,3,2
1,788,240,247,3,162,556,11,2
1,772,231,233,2,649,781,1,2
1,772,231,233,2,633,781,1,2
1,767,240,233,3,243,913,6,2
1,767,240,233,2,617,122,4,2
1,756,240,226,3,162,114,10,2
1,756,240,226,3,243,329,7,2
1,756,240,226,3,276,142,3,2
1,809,236,247,3,259,489,5,2
1,900,195,308,2,633,825,0,2
1,879,200,302,3,194,192,9,2
1,884,200,295,3,243,917,6,2
1,777,240,240,3,178,115,10,2
1,761,240,233,2,649,689,3,2
1,761,231,226,2,552,833,11,2
1,777,231,233,2,617,78,5,2
1,777,231,233,2,617,77,5,2
1,777,236,226,3,259,884,0,2
1,777,236,226,3,211,188,9,2
1,911,190,315,2,649,778,1,2
1,911,190,315,3,276,807,1,2
1,761,231,219,2,617,116,4,2
1,761,231,219,3,276,59,4,2
1,761,231,219,3,243,841,7,2
1,921,177,322,2,633,680,3,2
1,921,177,322,3,162,565,11,2
1,921,177,322,3,276,1001,5,2
1,911,190,308,2,649,826,0,2
1,911,190,308,3,276,897,0,2
1,911,190,308,3,227,258,8,2
1,943,172,329,3,276,815,1,2
1,788,236,240,3,276,576,4,2
1,921,186,322,3,178,55,11,2
1,905,181,308,3,276,735,2,2
1,905,181,308,2,649,822,0,2
1,836,222,274,3,194,186,9,2
1,916,195,322,3,292,804,1,2
1,916,195,322,2,584,10,6,2
1,916,195,322,2,584,12,6,2
1,756,240,240,3,259,567,4,2
1,756,240,240,3,178,129,10,2
1,900,190,308,3,162,577,11,2
1,900,190,308,3,259,1008,5,2
1,788,240,233,3,259,897,0,2
1,793,250,240,3,243,274,8,2
1,793,250,240,2,649,775,1,2
1,820,227,247,3,194,645,10,2
1,756,222,212,3,243,710,3,2
1,756,222,212,3,162,150,11,2
1,724,368,617,0,389,763,2,3
1,724,368,617,2,211,995,0,3
1,724,368,617,0,405,805,1,3
1,724,368,617,0,373,746,6,3
1,724,368,617,0,422,95,2,3
1,724,368,617,0,389,50,1,3
0,415,627,254,0,828,887,4,3
0,415,627,254,0,828,887,4,3
0,415,627,254,0,828,887,4,3
0,415,627,254,0,828,887,4,3
0,415,627,254,0,828,887,4,3
0,458,600,219,0,860,41,4,3
0,458,600,219,0,860,41,4,3
0,458,600,219,0,860,41,4,3
0,458,600,219,0,860,41,4,3
0,458,600,219,0,860,41,4,3
0,463,591,247,0,909,441,2,3
0,463,591,247,0,909,441,2,3
0,463,591,247,0,909,441,2,3
0,463,591,247,0,909,441,2,3
0,463,591,247,0,909,441,2,3
0,463,591,247,0,909,441,2,3
0,468,613,240,0,876,104,8,3
0,468,613,240,0,876,104,8,3
0,468,613,240,0,876,104,8,3
0,468,613,240,0,876,104,8,3
0,468,613,240,0,876,104,8,3
0,468,613,240,0,876,104,8,3
0,511,613,254,2,48,524,8,3
0,511,613,254,2,48,524,8,3
0,511,613,254,2,48,524,8,3
0,511,613,254,2,48,524,8,3
0,511,613,254,2,48,524,8,3
0,511,613,254,2,48,524,8,3
0,511,613,254,0,811,806,1,3
0,511,613,254,0,811,806,1,3
0,511,613,254,0,811,806,1,3
0,511,613,254,0,811,806,1,3
0,511,613,254,0,811,806,1,3
0,511,613,254,0,811,806,1,3
0,346,641,226,0,698,292,10,3
0,346,641,226,0,698,292,10,3
0,346,641,226,0,698,292,10,3
0,346,641,226,0,698,292,10,3
