feat_0,feat_1,feat_2,feat_3,class
1,259,600,600,0
1,243,600,600,0
1,211,584,584,0
1,194,600,568,0
1,194,600,552,0
1,129,633,552,0
1,162,633,584,0
1,178,633,552,0
1,162,633,552,0
1,162,633,535,0
1,194,584,552,0
1,259,600,584,0
1,259,617,552,0
1,227,600,568,0
1,227,633,552,0
1,194,600,552,0
1,162,649,584,0
1,178,584,600,0
1,146,600,600,0
1,113,633,568,0
1,97,617,568,0
1,64,617,584,0
1,113,617,568,0
1,211,633,584,0
1,243,665,649,0
1,243,633,633,0
1,259,600,633,0
1,259,584,633,0
1,243,584,617,0
1,211,584,617,0
1,211,584,600,0
1,178,600,617,0
1,162,600,617,0
1,194,617,600,0
1,162,633,617,0
1,129,649,600,0
1,162,617,584,0
1,97,633,600,0
1,113,649,600,0
1,211,617,600,0
1,227,617,568,0
1,243,617,568,0
1,259,600,568,0
1,259,584,552,0
1,308,600,568,0
1,292,617,535,0
1,292,617,552,0
1,276,617,552,0
1,259,617,568,0
1,211,617,568,0
1,178,649,584,0
1,162,665,568,0
1,97,633,568,0
1,48,633,584,0
1,0,649,617,0
1,64,665,600,0
1,178,649,665,0
1,194,649,665,0
1,194,649,600,0
1,227,633,600,0
1,276,617,600,0
1,276,617,584,0
1,276,617,600,0
1,259,633,600,0
1,259,617,600,0
1,227,600,584,0
1,211,617,600,0
1,129,649,617,0
1,146,649,600,0
1,81,665,600,0
1,48,633,600,0
1,32,665,600,0
1,146,649,584,0
1,178,633,568,0
1,178,617,535,0
1,194,600,552,0
1,259,584,535,0
1,292,600,535,0
1,324,568,535,0
1,324,584,535,0
1,308,600,535,0
1,292,600,535,0
1,292,584,552,0
1,243,600,552,0
1,211,617,568,0
1,178,617,552,0
1,97,617,552,0
1,0,633,568,0
1,32,649,600,0
1,113,665,649,0
1,162,633,665,0
1,211,633,617,0
1,243,633,600,0
1,243,617,600,0
1,292,649,600,0
1,324,600,584,0
1,292,633,584,0
1,292,633,600,0
1,243,633,584,0
1,194,649,600,0
1,178,600,600,0
1,113,600,617,0
1,64,600,584,0
1,0,649,600,0
1,48,633,617,0
1,81,600,584,0
1,113,600,552,0
1,146,600,552,0
1,146,584,568,0
1,178,600,552,0
1,211,617,535,0
1,243,584,519,0
1,292,535,503,0
1,308,519,519,0
1,324,519,503,0
1,308,568,503,0
1,308,584,535,0
1,243,584,535,0
1,194,600,519,0
1,146,584,535,0
1,16,617,535,0
1,48,617,552,0
1,97,633,617,0
1,129,633,633,0
1,129,633,584,0
1,178,600,552,0
1,227,584,584,0
1,276,600,568,0
1,308,617,584,0
1,276,649,584,0
1,259,617,584,0
1,259,600,600,0
1,211,633,568,0
1,178,649,649,0
1,113,633,633,0
1,64,649,649,0
1,0,617,665,0
1,16,633,649,0
1,113,600,617,0
1,113,568,617,0
1,97,584,617,0
1,113,584,552,0
1,162,568,519,0
1,194,552,552,0
1,243,552,535,0
1,259,568,535,0
1,292,535,535,0
1,292,568,519,0
1,308,552,519,0
1,276,584,503,0
1,211,584,535,0
1,227,600,552,0
1,162,568,535,0
1,48,649,552,0
1,194,600,633,0
1,178,617,600,0
1,259,617,600,0
1,243,617,600,0
1,259,584,617,0
1,211,600,600,0
1,211,584,617,0
1,194,617,633,0
1,162,633,649,0
1,162,649,633,0
1,146,633,633,0
1,113,633,649,0
1,32,649,665,0
1,48,665,665,0
1,113,617,617,0
1,97,584,584,0
1,129,584,584,0
1,129,584,568,0
1,162,584,568,0
1,211,552,535,0
1,243,568,552,0
1,211,584,535,0
1,243,584,535,0
1,243,568,519,0
1,227,552,519,0
1,243,584,535,0
1,194,584,535,0
1,211,568,519,0
1,211,584,552,0
1,113,584,535,0
1,194,584,552,0
1,194,584,568,0
1,178,600,600,0
1,194,600,600,0
1,227,617,568,0
1,276,600,584,0
1,276,600,617,0
1,276,600,600,0
1,211,633,584,0
1,194,633,617,0
1,162,633,633,0
1,162,633,633,0
1,129,665,633,0
1,146,665,649,0
1,97,633,633,0
1,16,633,633,0
1,64,649,665,0
1,162,600,584,0
1,146,600,584,0
1,129,600,584,0
1,81,600,568,0
1,146,568,552,0
1,211,568,535,0
1,194,568,519,0
1,211,584,535,0
1,211,584,535,0
1,227,600,535,0
1,227,584,535,0
1,211,584,552,0
1,211,568,552,0
1,211,600,552,0
1,194,584,552,0
1,113,584,552,0
1,227,568,568,0
1,243,600,584,0
1,227,600,600,0
1,227,617,584,0
1,211,617,568,0
1,259,584,617,0
1,243,568,600,0
1,211,584,584,0
1,194,617,568,0
1,178,633,584,0
1,178,682,617,0
1,146,682,633,0
1,97,698,617,0
1,113,682,633,0
1,81,682,633,0
1,16,698,633,0
1,48,714,665,0
1,146,633,617,0
1,113,617,617,0
1,97,617,584,0
1,113,600,584,0
1,178,584,584,0
1,178,584,568,0
1,194,584,535,0
1,194,584,519,0
1,194,584,535,0
1,227,552,519,0
1,227,568,535,0
1,243,584,535,0
1,227,584,535,0
1,259,584,519,0
1,243,584,535,0
1,178,584,535,0
1,194,568,535,0
1,194,552,552,0
1,194,600,568,0
1,194,617,600,0
1,211,633,568,0
1,243,633,584,0
1,259,600,584,0
1,243,584,584,0
1,211,600,584,0
1,162,665,617,0
1,162,649,633,0
1,146,665,633,0
1,113,682,649,0
1,97,682,682,0
1,81,714,633,0
1,64,649,633,0
1,48,665,682,0
1,146,633,617,0
1,97,617,600,0
1,81,584,584,0
1,113,584,552,0
1,129,568,568,0
1,178,584,552,0
1,211,584,519,0
1,211,600,519,0
1,211,600,519,0
1,243,600,503,0
1,243,568,519,0
1,211,584,519,0
1,227,584,519,0
1,211,568,519,0
1,211,584,535,0
1,129,584,552,0
1,194,600,568,0
1,211,584,568,0
1,178,600,617,0
1,178,600,600,0
1,227,600,568,0
1,276,600,568,0
1,259,600,568,0
1,211,600,600,0
1,162,633,600,0
1,162,633,600,0
1,178,633,617,0
1,162,633,617,0
1,129,649,633,0
1,113,665,649,0
1,64,665,665,0
1,0,698,682,0
1,113,633,617,0
1,129,617,600,0
1,81,600,600,0
1,81,600,568,0
1,113,600,568,0
1,129,552,552,0
1,162,568,535,0
1,194,584,535,0
1,211,568,552,0
1,227,568,535,0
1,259,584,535,0
1,259,584,519,0
1,243,584,535,0
1,227,584,535,0
1,227,568,535,0
1,276,600,552,0
1,178,600,568,0
1,162,584,535,0
1,178,600,552,0
1,162,600,600,0
1,162,617,600,0
1,146,633,584,0
1,194,600,584,0
1,211,617,600,0
1,113,649,568,0
1,162,665,600,0
1,162,633,617,0
1,178,649,617,0
1,178,649,617,0
1,162,665,633,0
1,178,665,633,0
1,129,633,633,0
1,113,649,617,0
1,81,682,665,0
1,97,649,633,0
1,64,617,584,0
1,48,568,568,0
1,97,552,568,0
1,129,552,568,0
1,146,568,552,0
1,178,600,535,0
1,211,600,519,0
1,227,584,552,0
1,227,584,535,0
1,243,552,535,0
1,259,568,519,0
1,243,568,535,0
1,211,600,552,0
1,243,568,519,0
1,162,584,552,0
1,178,600,552,0
1,227,584,568,0
1,194,617,617,0
1,146,584,617,0
1,146,633,600,0
1,211,584,600,0
1,211,584,584,0
1,178,600,568,0
1,162,633,584,0
1,178,633,617,0
1,178,649,617,0
1,178,682,600,0
1,211,649,617,0
1,194,633,633,0
1,162,649,617,0
1,32,665,617,0
1,0,665,665,0
1,97,600,617,0
1,113,584,600,0
1,113,568,649,0
1,81,503,584,0
1,97,552,552,0
1,146,568,584,0
1,178,584,584,0
1,162,633,600,0
1,146,584,584,0
1,178,568,568,0
1,227,600,568,0
1,276,568,600,0
1,292,600,584,0
1,276,633,584,0
1,243,600,584,0
1,194,584,535,0
1,178,584,552,0
1,259,568,617,0
1,243,600,568,0
1,162,617,552,0
1,113,600,535,0
1,81,617,568,0
1,113,617,568,0
1,162,633,568,0
1,129,617,552,0
1,178,665,519,0
1,178,617,535,0
1,162,649,552,0
1,162,633,552,0
1,194,633,535,0
1,194,649,568,0
1,162,665,600,0
1,146,649,584,0
1,64,649,617,0
1,64,698,665,0
1,146,649,649,0
1,162,600,633,0
1,129,584,633,0
1,97,617,617,0
1,129,584,600,0
1,146,584,600,0
1,178,552,568,0
1,178,552,584,0
1,211,568,568,0
1,211,568,568,0
1,227,568,568,0
1,259,584,552,0
1,259,568,568,0
1,211,584,535,0
1,227,568,552,0
1,243,600,535,0
1,129,584,535,0
1,162,584,519,0
1,194,633,519,0
1,178,617,584,0
1,146,617,584,0
1,162,665,552,0
1,178,617,568,0
1,211,568,600,0
1,227,584,584,0
1,227,633,600,0
1,211,665,617,0
1,162,649,665,0
1,162,665,649,0
1,146,649,633,0
1,162,649,649,0
1,97,665,633,0
1,129,649,617,0
1,16,665,633,0
1,64,665,633,0
1,146,633,584,0
1,113,600,568,0
1,97,584,568,0
1,97,584,552,0
1,162,568,535,0
1,194,568,535,0
1,211,584,535,0
1,194,584,535,0
1,194,584,519,0
1,243,584,535,0
1,259,535,535,0
1,324,584,552,0
1,292,568,552,0
1,259,600,552,0
1,243,584,552,0
1,146,584,568,0
1,113,600,535,0
1,178,552,552,0
1,178,617,617,0
1,162,600,633,0
1,129,649,584,0
1,178,633,568,0
1,243,600,584,0
1,162,600,584,0
1,211,665,584,0
1,194,633,600,0
1,178,617,617,0
1,178,665,617,0
1,194,665,617,0
1,194,665,633,0
1,146,649,617,0
1,146,633,617,0
1,48,649,649,0
1,32,665,649,0
1,81,600,568,0
1,97,584,568,0
1,81,568,568,0
1,113,600,568,0
1,146,584,568,0
1,194,552,552,0
1,194,568,519,0
1,178,568,519,0
1,227,552,503,0
1,211,584,519,0
1,243,584,519,0
1,292,568,519,0
1,308,584,519,0
1,308,584,519,0
1,276,600,519,0
1,292,600,535,0
1,227,568,552,0
1,178,600,552,0
1,162,584,552,0
1,113,584,584,0
1,129,617,617,0
1,97,633,633,0
1,162,649,633,0
1,227,617,617,0
1,178,633,617,0
1,178,665,600,0
1,178,633,633,0
1,178,633,633,0
1,211,665,633,0
1,211,682,633,0
1,211,633,633,0
1,162,682,633,0
1,113,633,600,0
1,97,600,600,0
1,64,633,600,0
1,81,600,584,0
1,97,584,552,0
1,97,568,535,0
1,97,552,519,0
1,129,584,519,0
1,178,568,519,0
1,227,600,503,0
1,243,584,519,0
1,227,568,519,0
1,243,568,519,0
1,259,584,519,0
1,276,584,535,0
1,259,584,552,0
1,243,633,552,0
1,227,617,552,0
1,178,633,552,0
1,146,633,584,0
1,146,617,600,0
1,178,633,600,0
1,227,633,617,0
1,227,633,600,0
1,211,617,600,0
1,162,633,617,0
1,178,584,617,0
1,194,633,617,0
1,211,633,633,0
1,211,633,633,0
1,178,633,617,0
1,211,633,633,0
1,194,633,633,0
1,211,617,600,0
1,211,617,617,0
1,227,617,600,0
1,194,600,617,0
1,211,617,584,0
1,178,600,600,0
1,178,600,568,0
1,146,600,568,0
1,162,584,568,0
1,194,568,552,0
1,211,617,552,0
1,227,600,552,0
1,211,600,552,0
1,211,600,535,0
1,211,617,552,0
1,227,600,552,0
1,211,600,552,0
1,227,584,552,0
1,211,617,568,0
1,211,600,568,0
1,211,617,584,0
1,211,633,568,0
1,211,617,568,0
1,211,633,584,0
1,194,617,584,0
1,227,633,584,0
1,211,649,584,0
1,211,633,584,0
1,194,649,584,0
1,194,633,584,0
1,227,649,584,0
1,211,617,584,0
1,194,617,552,0
1,194,600,584,0
1,194,617,568,0
1,227,617,584,0
1,211,617,568,0
1,211,617,568,0
1,194,600,584,0
1,227,617,584,0
1,211,600,584,0
1,194,600,584,0
1,194,600,584,0
1,227,633,568,0
1,194,617,568,0
1,211,633,584,0
1,211,617,584,0
1,211,617,568,0
1,194,617,584,0
1,211,617,568,0
1,194,617,584,0
1,211,633,584,0
1,211,633,584,0
1,211,633,568,0
1,211,617,552,0
1,194,633,584,0
1,194,633,584,0
1,211,617,584,0
1,211,617,584,0
1,194,617,568,0
1,227,600,568,0
1,194,600,568,0
1,194,633,584,0
1,194,617,584,0
1,194,617,584,0
1,227,600,584,0
1,194,617,584,0
1,211,600,584,0
1,194,600,568,0
1,178,633,584,0
1,194,617,584,0
1,194,617,584,0
1,211,617,584,0
1,194,617,584,0
1,211,600,568,0
1,178,617,568,0
1,194,600,584,0
1,194,617,568,0
1,194,600,584,0
1,211,600,584,0
1,194,633,584,0
1,194,617,568,0
1,211,617,568,0
1,211,600,568,0
1,211,617,600,0
1,211,617,584,0
1,227,617,584,0
1,211,600,584,0
1,227,633,584,0
1,194,617,584,0
1,211,617,568,0
1,194,584,584,0
1,194,617,568,0
1,211,617,584,0
1,194,617,568,0
1,194,617,552,0
1,227,600,584,0
1,194,600,568,0
1,227,617,568,0
1,194,617,584,0
1,211,633,568,0
1,194,584,568,0
1,211,617,568,0
1,194,617,568,0
1,194,600,584,0
1,194,617,600,0
1,227,600,568,0
1,211,584,568,0
1,211,600,568,0
1,211,617,568,0
1,178,600,568,0
1,211,600,568,0
1,194,600,600,0
1,194,600,568,0
1,178,617,584,0
1,211,600,568,0
1,211,617,584,0
1,211,617,584,0
1,194,617,584,0
1,194,600,568,0
1,194,600,584,0
1,194,600,584,0
1,194,617,568,0
1,211,600,584,0
1,211,617,584,0
1,211,600,584,0
1,211,617,584,0
1,227,600,584,0
1,194,600,568,0
1,211,617,584,0
1,194,600,568,0
1,194,600,568,0
1,227,617,568,0
1,194,617,568,0
1,194,633,584,0
1,194,617,600,0
1,194,617,584,0
1,194,600,584,0
1,211,633,584,0
1,211,617,584,0
1,227,617,584,0
1,211,617,600,0
1,194,600,584,0
1,211,600,584,0
1,194,600,552,0
1,194,584,584,0
1,194,600,568,0
1,194,617,568,0
1,211,617,584,0
1,211,600,568,0
1,211,617,568,0
1,194,584,584,0
1,194,617,568,0
1,211,617,584,0
1,194,617,584,0
1,211,617,568,0
1,194,617,568,0
1,194,600,568,0
1,194,600,584,0
1,194,617,584,0
1,194,617,568,0
1,211,617,584,0
1,194,617,584,0
1,211,617,584,0
1,211,617,568,0
1,211,617,584,0
1,211,617,568,0
1,194,617,584,0
1,211,617,552,0
1,194,649,584,0
1,211,633,584,0
1,194,617,600,0
1,194,649,584,0
1,178,665,584,0
1,178,698,600,0
1,178,698,600,0
1,162,746,600,0
1,178,779,584,0
1,162,811,584,0
1,178,860,584,0
1,178,860,584,0
1,211,876,600,0
1,227,876,600,0
1,276,893,600,0
1,308,860,617,0
1,341,844,649,0
1,389,795,649,0
1,454,811,649,0
1,519,746,617,0
1,552,665,633,0
1,600,633,633,0
1,633,617,633,0
1,665,568,649,0
1,682,584,698,0
1,682,568,698,0
1,698,552,730,0
1,682,552,779,0
1,682,568,811,0
1,649,535,844,0
1,649,552,876,0
1,633,552,860,0
1,617,617,909,0
1,649,552,893,0
1,649,568,860,0
1,682,568,860,0
1,682,568,828,0
1,682,584,811,0
1,698,584,811,0
1,682,584,828,0
1,682,584,844,0
1,665,552,828,0
1,682,568,844,0
1,665,552,828,0
1,682,552,828,0
1,698,584,844,0
1,665,584,828,0
1,698,584,844,0
1,665,552,844,0
1,698,568,828,0
1,665,584,828,0
1,665,584,828,0
1,665,584,828,0
1,665,584,811,0
1,487,633,811,0
1,487,633,811,0
1,487,633,811,0
1,470,633,828,0
1,454,600,811,0
1,454,600,795,0
1,422,633,746,0
1,438,649,763,0
1,454,665,714,0
1,422,682,698,0
1,405,714,682,0
1,389,714,665,0
1,373,746,682,0
1,341,763,698,0
1,276,795,665,0
1,243,795,617,0
1,227,844,600,0
1,211,828,584,0
1,178,746,584,0
1,178,714,617,0
1,211,698,600,0
1,194,682,600,0
1,211,698,617,0
1,194,714,600,0
1,211,698,584,0
1,211,649,568,0
1,178,649,568,0
1,178,617,552,0
1,178,649,584,0
1,162,584,584,0
1,178,584,552,0
1,178,568,552,0
1,113,633,535,0
1,113,649,552,0
1,146,584,503,0
1,162,552,487,0
1,178,535,487,0
1,211,519,519,0
1,162,552,487,0
1,129,568,470,0
1,146,552,454,0
1,194,584,487,0
1,211,600,470,0
1,243,584,503,0
1,243,617,503,0
1,259,600,519,0
1,259,584,503,0
1,243,617,503,0
1,243,617,519,0
1,243,633,503,0
1,243,633,503,0
1,211,665,503,0
1,194,633,487,0
1,178,633,487,0
1,97,617,438,0
1,32,633,438,0
1,146,600,519,0
1,194,633,535,0
1,194,600,519,0
1,146,568,487,0
1,178,552,519,0
1,211,584,552,0
1,243,600,568,0
1,276,617,568,0
1,259,617,584,0
1,227,600,584,0
1,259,600,568,0
1,243,584,584,0
1,243,617,568,0
1,259,633,568,0
1,211,617,552,0
1,146,568,535,0
1,81,600,503,0
1,16,600,470,0
1,64,568,470,0
1,129,633,487,0
1,129,568,470,0
1,146,552,454,0
1,194,568,438,0
1,259,552,470,0
1,259,568,487,0
1,259,584,470,0
1,259,633,470,0
1,276,682,487,0
1,276,698,519,0
1,276,682,519,0
1,276,682,535,0
1,227,665,519,0
1,211,698,519,0
1,194,665,503,0
1,178,682,487,0
1,146,617,470,0
1,32,649,487,0
1,113,617,519,0
1,211,600,552,0
1,194,568,519,0
1,162,535,487,0
1,146,568,503,0
1,162,568,503,0
1,178,584,519,0
1,178,584,519,0
1,194,600,535,0
1,194,600,519,0
1,227,600,535,0
1,259,617,535,0
1,276,617,568,0
1,292,617,568,0
1,308,633,552,0
1,276,665,568,0
1,259,665,568,0
1,243,698,600,0
1,194,714,552,0
1,146,714,568,0
1,97,698,568,0
1,81,698,552,0
1,146,698,552,0
1,162,682,535,0
1,129,682,503,0
1,162,649,503,0
1,194,633,503,0
1,227,617,487,0
1,211,617,503,0
1,259,617,487,0
1,276,633,503,0
1,292,633,503,0
1,292,633,503,0
1,292,633,519,0
1,243,649,519,0
1,211,649,503,0
1,162,633,519,0
1,129,633,503,0
1,97,633,503,0
1,48,649,519,0
1,129,617,552,0
1,259,584,552,0
1,211,600,568,0
1,146,600,552,0
1,162,584,535,0
1,211,600,568,0
1,243,568,568,0
1,243,600,568,0
1,276,600,568,0
1,292,633,568,0
1,259,617,568,0
1,308,617,584,0
1,276,617,584,0
1,292,649,584,0
1,243,649,600,0
1,194,649,617,0
1,113,665,600,0
1,129,665,600,0
1,129,649,600,0
1,113,633,584,0
1,64,649,617,0
1,113,649,617,0
1,194,633,600,0
1,178,600,552,0
1,146,600,535,0
1,113,584,535,0
1,194,584,519,0
1,227,584,519,0
1,227,600,519,0
1,243,633,552,0
1,243,633,552,0
1,259,649,535,0
1,292,649,535,0
1,308,600,535,0
1,292,600,552,0
1,292,617,552,0
1,227,617,552,0
1,178,633,519,0
1,162,633,519,0
1,81,649,503,0
1,81,617,535,0
1,146,617,568,0
1,227,633,568,0
1,129,633,568,0
1,129,617,519,0
1,178,617,519,0
1,194,584,535,0
1,243,584,552,0
1,259,617,552,0
1,227,649,552,0
1,276,617,568,0
1,243,649,584,0
1,243,633,584,0
1,227,633,600,0
1,194,617,600,0
1,194,665,600,0
1,162,649,633,0
1,162,649,649,0
1,81,649,633,0
1,32,617,600,0
1,48,617,584,0
1,146,600,568,0
1,194,600,535,0
1,129,584,503,0
1,129,600,503,0
1,178,568,535,0
1,211,584,519,0
1,211,617,503,0
1,211,617,519,0
1,211,633,503,0
1,243,617,503,0
1,276,617,519,0
1,276,617,519,0
1,292,617,519,0
1,243,633,503,0
1,259,633,519,0
1,227,617,503,0
1,211,649,519,0
1,97,665,519,0
1,97,665,503,0
1,162,633,552,0
1,194,633,552,0
1,129,633,552,0
1,113,649,568,0
1,178,617,568,0
1,194,617,535,0
1,211,552,568,0
1,243,617,600,0
1,243,649,600,0
1,259,617,600,0
1,259,633,617,0
1,259,600,617,0
1,243,617,617,0
1,211,617,617,0
1,162,617,617,0
1,162,617,617,0
1,113,633,600,0
1,0,649,600,0
1,64,600,568,0
1,162,633,552,0
1,178,600,519,0
1,129,600,470,0
1,64,600,438,0
1,146,568,487,0
1,194,617,470,0
1,227,633,487,0
1,211,617,503,0
1,243,633,503,0
1,259,633,503,0
1,324,617,503,0
1,324,617,519,0
1,341,617,503,0
1,308,633,503,0
1,292,633,487,0
1,276,665,503,0
1,259,649,487,0
1,162,665,487,0
1,97,682,503,0
1,97,698,535,0
1,146,698,584,0
1,64,714,584,0
1,64,698,600,0
1,162,649,568,0
1,194,649,552,0
1,259,649,535,0
1,276,649,535,0
1,259,617,519,0
1,276,633,519,0
1,292,649,519,0
1,292,633,519,0
1,243,665,535,0
1,211,649,552,0
1,178,649,584,0
1,129,649,584,0
1,129,633,584,0
1,64,665,617,0
1,48,649,600,0
1,146,617,568,0
1,259,535,535,0
1,227,552,519,0
1,146,584,470,0
1,146,568,470,0
1,194,568,405,0
1,243,600,422,0
1,227,535,438,0
1,243,552,454,0
1,243,584,454,0
1,259,600,470,0
1,259,584,487,0
1,243,600,503,0
1,227,649,503,0
1,211,649,503,0
1,178,649,487,0
1,146,649,487,0
1,129,633,487,0
1,0,617,470,0
1,97,584,503,0
1,243,535,503,0
1,162,535,487,0
1,129,503,487,0
1,178,552,519,0
1,227,568,503,0
1,259,552,503,0
1,276,568,519,0
1,259,600,535,0
1,227,600,568,0
1,259,600,568,0
1,243,633,568,0
1,211,617,568,0
1,194,600,568,0
1,194,600,584,0
1,211,617,584,0
1,194,617,584,0
1,194,617,552,0
1,97,649,519,0
1,32,649,568,0
1,64,617,568,0
1,178,617,535,0
1,178,617,519,0
1,146,600,487,0
1,146,584,503,0
1,194,584,487,0
1,243,584,519,0
1,243,600,503,0
1,276,633,503,0
1,259,600,503,0
1,259,633,519,0
1,259,633,535,0
1,276,617,519,0
1,259,600,519,0
1,243,617,535,0
1,178,633,519,0
1,178,617,519,0
1,113,633,552,0
1,32,649,552,0
1,129,633,584,0
1,259,649,600,0
1,194,633,617,0
1,113,633,568,0
1,146,633,552,0
1,243,584,584,0
1,276,600,584,0
1,292,600,584,0
1,276,617,584,0
1,243,633,600,0
1,227,633,617,0
1,211,649,617,0
1,227,649,649,0
1,211,665,649,0
1,211,649,649,0
1,211,649,633,0
1,227,617,633,0
1,211,617,617,0
1,146,665,600,0
1,97,665,633,0
1,129,682,600,0
1,211,665,535,0
1,227,649,503,0
1,211,633,487,0
1,243,633,487,0
1,243,682,470,0
1,243,649,454,0
1,292,649,470,0
1,292,649,470,0
1,276,649,487,0
1,243,633,470,0
1,243,649,487,0
1,227,649,487,0
1,211,633,503,0
1,194,633,503,0
1,113,649,519,0
1,81,665,519,0
1,32,649,535,0
1,113,649,600,0
1,178,682,617,0
1,129,649,600,0
1,146,665,568,0
1,194,617,584,0
1,243,568,552,0
1,259,617,568,0
1,292,568,568,0
1,292,633,584,0
1,308,665,584,0
1,276,682,600,0
1,276,682,600,0
1,292,698,617,0
1,308,682,617,0
1,259,698,617,0
1,292,698,600,0
1,243,682,600,0
1,211,714,584,0
1,129,682,584,0
1,97,714,600,0
1,97,714,584,0
1,178,698,552,0
1,162,665,535,0
1,146,649,552,0
1,162,633,568,0
1,194,633,552,0
1,211,633,535,0
1,227,617,552,0
1,227,633,552,0
1,227,617,568,0
1,227,633,568,0
1,259,633,568,0
1,227,617,568,0
1,227,633,584,0
1,211,600,568,0
1,227,600,568,0
1,129,600,535,0
1,162,600,584,0
1,178,617,600,0
1,227,633,568,0
1,162,617,568,0
1,129,600,584,0
1,178,568,584,0
1,227,600,600,0
1,276,617,600,0
1,243,617,633,0
1,292,633,649,0
1,259,649,665,0
